Book Title,Author Name,Year of Publication,Genre
Adventures of Huckleberry Finn,Mark Twain,1876,Literature
Oliver Twist,Charles Dickens,1822,Literature
Frankenstein or The Modern Prometheus,Mary Shelley,1818,Literature
A Tale of Two Cities,"Charles Dickens, Aedi Abraham, leonardo pablo federico sanchez alonso, federico alonso, monica alonso, Juan Ramon Torregrosa, Francisco Manuel GRANADO CASTRO, Hablot K. BROWNE, Fred BARNARD, Alejo García Moreno, Salustiano Masó Simón, Juan Ramon Torregrosa Torregrosa, Victor G Ambrus, Laura Santamaria, Laura Santamaria, J. J. Bernier, maxi sanchez, Jose perez, jaime arbe, Marion Leighton, Miguel Muñoz, Julius Julius Seybt, Julius Seybt",1800,Literature
Sense and Sensibility,Jane Austen,1811,Literature
Treasure Island,Robert Louis Stevenson,1880,Literature
Little Women,Louisa May Alcott,1848,Literature
Gulliver's Travels,Jonathan Swift,1726,Literature
The Prince,"Niccolò Machiavelli, W Grüzmacher, W. Grüzmacher, George Bull, Jon Lee Anderson, Eko, Ninian Hill Thomson, Yovelina Del Jesus, Angelo M. Codevilla",1515,Literature
The Call of the Wild,Jack London,1903,Literature
Hamlet,William Shakespeare,1603,Literature
Don Quixote,Miguel de Cervantes Saavedra,1600,Literature
Persuasion,Jane Austen,1789,Literature
The Great Gatsby,F. Scott Fitzgerald,1920,Literature
The Time Machine,H. G. Wells,1895,Literature
Moby Dick,Herman Melville,1851,Literature
Ἰλιάς,Όμηρος,1505,Literature
Candide,"Voltaire, William Fleming, Philip Littell, Jack Davenport",1746,Literature
Ὀδύσσεια,Όμηρος,1488,Literature
Romeo and Juliet,William Shakespeare,1597,Literature
Macbeth,William Shakespeare,1508,Literature
Anna Karenina,Лев Толстой,1876,Literature
The Adventures of Tom Sawyer,Mark Twain,1817,Literature
The Secret Garden,"Frances Hodgson Burnett, Francis Hodgson Burnett, Miller, Steve, Luisa Uribe",1911,Literature
David Copperfield,"Charles Dickens, Francesc Ràfolsen, Mary Sebag-Montefiore, Ginger Roberts Brackett, Manuel Rodríguez Navas y Carrasco., Jose KING",1800,Literature
The Old Curiosity Shop,"Charles Dickens, Bernardo Moreno Carrillo",1800,Literature
Jane Eyre,Charlotte Brontë,1847,Literature
Tess of the d'Urbervilles,Thomas Hardy,1707,Literature
Dracula,Bram Stoker,1897,Literature
Divina Commedia,"Dante Alighieri, Josep Maria de Sagarra",1484,Literature
Othello,William Shakespeare,1622,Literature
Decamerone,Giovanni Boccaccio,1516,Literature
Julius Caesar,William Shakespeare,1684,Literature
King Lear,William Shakespeare,1608,Literature
Dubliners,James Joyce,1914,Literature
A Midsummer Night's Dream,William Shakespeare,1600,Literature
Uncle Tom's Cabin,Harriet Beecher Stowe,1850,Literature
War and Peace,Лев Толстой,1864,Literature
The Red Badge of Courage,Stephen Crane,1855,Literature
The Moonstone,"Wilkie Collins, Pieter Koster, Sandra Kemp, Andronum",1868,Literature
